2016 Lexus GX 460 Luxury,"57,259 mi.","$29,991",Great,Used
2016 Lexus GX 460 Luxury,"83,921 mi.","$28,998",Good,Used
2016 Lexus GX 460 Base,"87,448 mi.","$28,999",Good,Used
2016 Lexus GX 460 460,"128,288 mi.","$24,285",Good,Used
2016 Lexus GX 460 Base,"135,720 mi.","$20,495",Good,Used
2016 Lexus GX 460 Base,"115,521 mi.","$24,888",Good,Used
2016 Lexus GX 460 Base,"81,559 mi.","$29,998",Good,Used
2016 Lexus GX 460 Base,"42,000 mi.","$33,777",Good,Used
2016 Lexus GX 460 Base,"54,048 mi.","$21,999",None,Used
2016 Lexus GX 460 Base,"100,331 mi.","$25,990",Good,Used
2016 Lexus GX 460 Base,"86,552 mi.","$26,800",Good,Used
2016 Lexus GX 460 Luxury,"116,873 mi.","$22,995",Good,Used
2017 Lexus GX 460 Base,"85,033 mi.","$29,663",Good,Used
2017 Lexus GX 460 Base,"80,873 mi.","$30,277",Great,Used
2017 Lexus GX 460 460,"114,452 mi.","$22,744",Good,Used
2017 Lexus GX 460 Base,"65,631 mi.","$32,590",Good,Used
2017 Lexus GX 460 Luxury,"89,957 mi.","$30,987",Great,Used
2017 Lexus GX 460 460,"60,042 mi.","$37,781",Fair,Used
2017 Lexus GX 460 460,"84,248 mi.","$28,000",Good,Used
2017 Lexus GX 460 GX 460,"133,990 mi.","$23,668",Great,Used
2017 Lexus GX 460 Base,"88,036 mi.","$30,995",Good,Used
2017 Lexus GX 460 Luxury,"57,958 mi.","$33,889",None,Used
None,"66,244 mi.","$39,071",Fair,Used
2017 Lexus GX 460 Base,"81,549 mi.","$28,393",Great,Used
2017 Lexus GX 460 Luxury,"118,127 mi.","$35,995",Fair,Used
2017 Lexus GX 460 Base,"91,510 mi.","$29,995",Good,Used
2017 Lexus GX 460 Base,"98,056 mi.","$28,898",Great,Used
2017 Lexus GX 460 Base,"81,088 mi.","$28,982",Good,Used
2017 Lexus GX 460 460,"65,731 mi.","$29,799",Good,Used
2017 Lexus GX 460 Luxury,"109,819 mi.","$31,072",Fair,Used
2017 Lexus GX 460 Base,"78,749 mi.","$29,978",Good,Used
2017 Lexus GX 460 460,"89,679 mi.","$25,922",Great,Used
2017 Lexus GX 460 Base,"52,054 mi.","$32,000",Great,Used
2017 Lexus GX 460 460,"70,717 mi.","$33,874",Fair,Used
2017 Lexus GX 460 Luxury,"101,433 mi.","$26,700",Good,Used
2017 Lexus GX 460 Base,"62,133 mi.","$31,998",Great,Used
2017 Lexus GX 460 Base,"105,310 mi.","$24,837",Good,Used
2017 Lexus GX 460 Base,"84,108 mi.","$29,995",Good,Used
2017 Lexus GX 460 Base,"61,876 mi.","$33,998",Good,Used
2017 Lexus GX 460 Base,"107,687 mi.","$27,998",Good,Used
2017 Lexus GX 460 Base,"126,808 mi.","$29,896",Fair,Used
2017 Lexus GX 460 Luxury,"91,031 mi.","$30,000",Good,Used
2017 Lexus GX 460 Base,"59,581 mi.","$31,500",Great,Used
2017 Lexus GX 460 Base,"88,676 mi.","$27,599",Good,Used
2017 Lexus GX 460 Base,"64,438 mi.","$31,884",Good,Used
2017 Lexus GX 460 Base,"94,745 mi.","$26,999",Good,Used
2017 Lexus GX 460 Base,"54,439 mi.","$30,500",Great,Used
2017 Lexus GX 460 Base,"73,702 mi.","$29,590",Good,Used
2017 Lexus GX 460 460,"95,801 mi.","$24,372",Great,Used
2017 Lexus GX 460 Base,"97,067 mi.","$26,879",Good,Used
2017 Lexus GX 460 460,"119,255 mi.","$24,995",Good,Used
2017 Lexus GX 460 Base,"67,635 mi.","$27,998",Great,Used
2017 Lexus GX 460 Base AWD 4dr SUV,"96,347 mi.","$28,995",Good,Used
2017 Lexus GX 460 GX 460,"48,927 mi.","$27,995",Good,Used
2017 Lexus GX 460 460,"103,223 mi.","$24,598",Good,Used
2017 Lexus GX 460 Base,"76,062 mi.","$32,901",Good,Used
2017 Lexus GX 460 GX 460,"66,937 mi.","$32,950",Good,Used
2017 Lexus GX 460 460,"85,867 mi.","$27,495",Good,Used
2017 Lexus GX 460 GX 460 Sport Utility 4D,"96,256 mi.","$30,900",Fair,Used
2017 Lexus GX 460 Base,"60,402 mi.","$31,995",Good,Used
2017 Lexus GX 460 Base,"133,190 mi.","$25,900",Good,Used
2017 Lexus GX 460 Base,"79,648 mi.","$28,549",Good,Used
2017 Lexus GX 460 Base,"100,506 mi.","$26,999",Good,Used
2017 Lexus GX 460 460 Luxury,"107,300 mi.","$26,317",Good,Used
2017 Lexus GX 460 Base,"82,370 mi.","$25,499",Good,Used
2017 Lexus GX 460 Base,"78,377 mi.","$30,988",Good,Used
2017 Lexus GX 460 460,"60,074 mi.","$29,998",Great,Used
2017 Lexus GX 460 GX 460,"52,157 mi.","$29,500",Good,Used
2017 Lexus GX 460 Luxury,"105,690 mi.","$27,994",Good,Used
2017 Lexus GX 460 Base,"72,986 mi.","$30,080",Good,Used
2017 Lexus GX 460 Base,"143,991 mi.","$24,399",Good,Used
2017 Lexus GX 460 460,"70,041 mi.","$30,993",Good,Used
2017 Lexus GX 460 460,"70,653 mi.","$22,997",Good,Used
2017 Lexus GX 460 Base,"85,539 mi.","$28,999",Good,Used
2017 Lexus GX 460 Base,"81,745 mi.","$29,899",Good,Used
2017 Lexus GX 460 Base,"85,537 mi.","$28,998",Good,Used
2017 Lexus GX 460 GX 460,"98,226 mi.","$29,980",Good,Used
2017 Lexus GX 460 GX 460 Sport Utility 4D,"97,898 mi.","$26,990",Good,Used
2017 Lexus GX 460 Base,"93,297 mi.","$29,998",Good,Used
2017 Lexus GX 460 Base,"76,080 mi.","$31,998",Good,Used
2017 Lexus GX 460 Base,"100,971 mi.","$28,800",Great,Used
2017 Lexus GX 460 Base,"62,983 mi.","$34,990",Good,Used
2017 Lexus GX 460 Base,"87,515 mi.","$31,900",Good,Used
2017 Lexus GX 460 Base,"91,055 mi.","$25,998",Good,Used
2017 Lexus GX 460 460,"90,433 mi.","$29,500",Fair,Used
2017 Lexus GX 460 Base,"90,168 mi.","$29,998",Good,Used
2017 Lexus GX 460 460,"89,177 mi.","$29,999",Good,Used
2017 Lexus GX 460 460,"95,442 mi.","$24,995",Good,Used
2017 Lexus GX 460 Base,"73,959 mi.","$34,999",Fair,Used
2017 Lexus GX 460 GX 460 4WD,"85,278 mi.","$28,995",Good,Used
2017 Lexus GX 460 Base,"47,074 mi.","$32,800",Good,Used
2017 Lexus GX 460 460,"68,991 mi.","$31,995",Good,Used
2017 Lexus GX 460 Base,"60,400 mi.","$24,499",Great,Used
2018 Lexus GX 460 Luxury,"95,667 mi.","$30,684",Good,Used
2018 Lexus GX 460 Luxury,"63,773 mi.","$39,998",Good,Used
