Title,Miles,Price,Deal,Stock,Year,Make,Model,Sub_Model
2015 Lexus GX 460 Base,138473,19990,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Base,122637,22782,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Base,90850,29991,Fair,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Base,151694,24995,Fair,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Sport,123342,22990,Good,Used,2015,Lexus,GX 460 Sport,Base
2015 Lexus GX 460 Base,115000,21995,Fair,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Base,53932,30975,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Luxury AWD 4dr SUV,84148,29756,Fair,Used,2015,Lexus,GX 460 Luxury AWD 4dr SUV,Luxury
2015 Lexus GX 460 Luxury,85754,28995,Good,Used,2015,Lexus,GX 460 Luxury,Luxury
2015 Lexus GX 460 Base,141000,23499,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Base,90871,24995,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Luxury,110362,23799,Good,Used,2015,Lexus,GX 460 Luxury,Luxury
2015 Lexus GX 460 GX 460 Sport Utility 4D,118303,24500,Good,Used,2015,Lexus,GX 460 GX 460 Sport Utility 4D,Base
2015 Lexus GX 460 Luxury,94541,29334,Good,Used,2015,Lexus,GX 460 Luxury,Luxury
2015 Lexus GX 460 Base,165000,19999,Great,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Base,190830,18000,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 460,92185,26418,Good,Used,2015,Lexus,GX 460 460,Base
2015 Lexus GX 460 Base,93076,26891,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Luxury,95696,25570,Good,Used,2015,Lexus,GX 460 Luxury,Luxury
2015 Lexus GX 460 LOCAL TRADE - 2 KEYS- NEW NICHELINS- SERVICED- LOW MILES,75982,28977,Good,Used,2015,Lexus,GX 460 LOCAL TRADE - 2 KEYS- NEW NICHELINS- SERVICED- LOW MILES,Base
2015 Lexus GX 460 Base,99870,24995,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Base,139507,29995,Fair,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Base,92453,25989,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Luxury,144008,21999,Good,Used,2015,Lexus,GX 460 Luxury,Luxury
